timestamp,open,high,low,close,volbtc,volusd,wtdprice,bb_up,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_up_lag1,close_lag2,bb_low_lag2,bb_up_lag2,rsi_lag1,rsi_lag2,bb_sig,bb_rsi_str,bb_rsi_returns,bh_returns,bb_rsi_cum_returns,bh_cum_returns
2017-01-01 00:00:00,973.37,973.4,968.21,970.49,392.75925434000004,381413.22160257795,970.81863231,,,,,,,,,,,,,1,1,0.0,0.0,0.0,0.0
2017-01-01 02:00:00,970.49,971.99,967.0,968.14,239.11038268,231693.99594166607,968.0709517000001,,,,,970.49,,,,,,,,0,1,-0.002421457202032018,-0.002421457202032018,-0.002421457202032018,-0.002421457202032018
2017-01-01 04:00:00,968.17,968.62,964.37,966.92,239.97951705999998,231950.28157427494,966.91660787,,,,,968.14,,,970.49,,,,,0,1,-0.0012601483256554635,-0.0012601483256554635,-0.0036785541324486637,-0.0036785541324486637
2017-01-01 06:00:00,966.92,970.56,964.54,969.47,153.92611916,149052.074554445,969.4221149,,,,,966.92,,,968.14,,,,,0,1,0.0026372398957514864,0.0026372398957514864,-0.0010510154664139515,-0.0010510154664139515
2017-01-01 08:00:00,969.04,970.68,968.11,970.38,148.09477563,143545.578490288,970.38,,,,,969.47,,,966.92,,,,,0,1,0.0009386572044518537,0.0009386572044518537,-0.0001133448052016428,-0.0001133448052016428
2017-01-01 10:00:00,970.36,975.0,969.79,975.0,157.56497043000007,153401.95504577993,975.0,,,,,970.38,,,969.47,,,,,0,1,0.004761021455512271,0.004761021455512271,0.004647137013261249,0.004647137013261249
2017-01-01 12:00:00,975.0,977.99,974.01,977.99,209.24657055,204358.63533366992,977.99,976.6482089375772,971.1985714285714,965.7489339195656,,975.0,,,970.38,,,,,0,1,0.003066666666666773,0.003066666666666773,0.007728054900101977,0.007728054900101977
2017-01-01 14:00:00,977.99,979.99,977.58,979.99,211.92109034000003,207560.6166244969,979.99,979.6434500284837,972.5557142857143,965.4679785429449,78.54567307692291,977.99,965.7489339195656,976.6482089375772,975.0,,,,,0,1,0.0020450106851808147,0.0020450106851808147,0.009788869540129141,0.009788869540129141
2017-01-01 16:00:00,979.98,994.97,977.63,994.42,911.8115516700003,901567.3176139334,994.37847708,989.1907447655167,976.3100000000001,963.4292552344834,89.33532486930531,979.99,965.4679785429449,979.6434500284837,977.99,965.7489339195656,976.6482089375772,78.54567307692291,,0,1,0.014724640047347304,0.014724640047347304,0.02465764716792518,0.02465764716792518
2017-01-01 18:00:00,994.49,999.68,993.7,994.92,619.2245372500001,616837.4853174998,994.9147257000001,994.9008733705148,980.3100000000001,965.7191266294853,89.54782042940779,994.42,963.4292552344834,989.1907447655167,979.99,965.4679785429449,979.6434500284837,89.33532486930531,78.54567307692291,-1,0,0.0,0.0005028056555580473,0.02465764716792518,0.02517285082793208
2017-01-01 20:00:00,994.61,1000.0,992.04,997.22,742.1595385000003,741207.9600562096,994.67599222,999.4951859866825,984.2742857142857,969.053385441889,90.55752158207301,994.92,965.7191266294853,994.9008733705148,994.42,963.4292552344834,989.1907447655167,89.54782042940779,89.33532486930531,-1,0,0.0,0.0023117436577815287,0.02465764716792518,0.027542787663963342
2017-01-01 22:00:00,997.22,998.99,986.86,992.95,506.67260712,504102.50721103017,992.97140248,1000.5532982291444,987.4985714285714,974.4438446279984,74.88831884953693,997.22,969.053385441889,999.4951859866825,994.92,965.7191266294853,994.9008733705148,90.55752158207301,89.54782042940779,0,0,-0.0,-0.004281903692264444,0.02465764716792518,0.023142948407505415
